"TYPE","NAME","TAGS: tags","TAGS: system_tags","STATUS","USER","STARTED","UPDATED","ITERATION","PARENT TASK: parent.name","PARENT TASK: parent.project.id","PARENT TASK: parent.project.name"
"training","dataset_hole_negative - x - train20 - dgx","dataset_hole_negative,x,yolov8","development","completed","Flavia Monti","2024-07-06T08:37:38.160000+00:00","2024-07-06T13:26:06.150000+00:00",388,"","",""
"training","dataset_hole_negative - l - train19 - dgx","dataset_hole_negative,l,yolov8","development","completed","Flavia Monti","2024-07-06T08:36:37.920000+00:00","2024-07-06T10:29:00.898000+00:00",199,"","",""
"training","dataset_hole_negative - m - train18 - dgx","dataset_hole_negative,m,yolov8","development","completed","Flavia Monti","2024-07-05T23:19:38.143000+00:00","2024-07-06T01:05:55.815000+00:00",253,"","",""
"training","dataset_hole_negative - s - train17 - dgx","dataset_hole_negative,s,yolov8","development","completed","Flavia Monti","2024-07-05T23:19:24.920000+00:00","2024-07-06T00:25:24.157000+00:00",209,"","",""
"training","dataset_hole_negative - n - train16 - dgx","dataset_hole_negative,n,yolov8","development","completed","Flavia Monti","2024-07-05T23:19:03.427000+00:00","2024-07-06T00:12:33.303000+00:00",188,"","",""
"training","dataset_fold_negative - x - train15 - dgx","dataset_fold_negative,x,yolov8","development","completed","Flavia Monti","2024-07-05T18:35:04.493000+00:00","2024-07-05T22:33:33.782000+00:00",386,"","",""
"training","dataset_fold_negative - l - train14 - dgx","dataset_fold_negative,l,yolov8","development","completed","Flavia Monti","2024-07-05T18:34:50.992000+00:00","2024-07-05T21:51:27.549000+00:00",425,"","",""
"training","dataset_fold_negative - m - train13 - dgx","dataset_fold_negative,m,yolov8","development","completed","Flavia Monti","2024-07-05T18:34:29.985000+00:00","2024-07-05T20:36:08.544000+00:00",337,"","",""
"training","dataset_fold_negative - s - train12 - dgx","dataset_fold_negative,s,yolov8","development","completed","Flavia Monti","2024-07-05T16:29:13.075000+00:00","2024-07-05T18:31:46.251000+00:00",415,"","",""
"training","dataset_hole - x - train10 - dgx","dataset_hole,x,yolov8","development","completed","Flavia Monti","2024-07-05T15:14:59.924000+00:00","2024-07-05T18:10:57.609000+00:00",220,"","",""
"training","dataset_fold_negative - n - train11 - dgx","dataset_fold_negative,n,yolov8","development","completed","Flavia Monti","2024-07-05T16:28:43.849000+00:00","2024-07-05T17:59:36.722000+00:00",423,"","",""
"training","dataset_hole - l - train9 - dgx","dataset_hole,l,yolov8","development","completed","Flavia Monti","2024-07-05T13:02:37.910000+00:00","2024-07-05T15:41:22.616000+00:00",202,"","",""
"training","dataset_fold - x - train5 - dgx","dataset_fold,x,yolov8","development","completed","Flavia Monti","2024-07-05T09:47:30.850000+00:00","2024-07-05T15:36:10.711000+00:00",372,"","",""
"training","dataset_hole - m - train8 - dgx","dataset_hole,m,yolov8","development","completed","Flavia Monti","2024-07-05T13:02:15.155000+00:00","2024-07-05T15:11:15.553000+00:00",182,"","",""
"training","dataset_hole - n - train6 - dgx","dataset_hole,n,yolov8","development","completed","Flavia Monti","2024-07-05T11:14:44.606000+00:00","2024-07-05T12:18:42.526000+00:00",273,"","",""
"training","dataset_hole - s - train7 - dgx","dataset_hole,s,yolov8","development","completed","Flavia Monti","2024-07-05T11:15:19.166000+00:00","2024-07-05T12:18:02.175000+00:00",211,"","",""
"training","dataset_fold - l - train4 - dgx","dataset_fold,l,yolov8","development","completed","Flavia Monti","2024-07-05T06:47:37.815000+00:00","2024-07-05T10:48:19.693000+00:00",417,"","",""
"training","dataset_fold - m - train2 - dgx","dataset_fold,m,yolov8","development","completed","Flavia Monti","2024-07-05T06:41:55.071000+00:00","2024-07-05T09:59:06.107000+00:00",359,"","",""
"training","dataset_fold - s - train3 - dgx","dataset_fold,s,yolov8","development","completed","Flavia Monti","2024-07-05T06:43:53.766000+00:00","2024-07-05T09:02:07.466000+00:00",334,"","",""
"training","dataset_fold - n - train - dgx","dataset_fold,n,yolov8","development","completed","Flavia Monti","2024-07-04T21:41:45.210000+00:00","2024-07-04T23:23:29.861000+00:00",345,"","",""
